resource_id,standard_code,matched_status,page,needs_review,review_reason,confidence,grounded,evidence,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,grounding_note,input_scope_caveat
G1M2U1L1,1.L.V.1.b,partial,45,False,,high,True,Ask students to repeat the word aloud with an accompanying hand gesture.,"Students use sentence frames during the Back-to-Back and Face-to-Face protocol to share observations (""I noticed that the sun __________""), which constitutes student-produced communication in a partner-discussion setting. However, the vocabulary deployed is basic observational language rather than deliberate use of grade-level academic or specialized vocabulary. The Word Wall routine introduces ""sun,"" ""moon,"" and ""star"" but students only echo/repeat these words rather than deploying them communicatively. The lesson provides one clear communicative setting (partner discussion); a second distinct setting (independent writing on the response sheet) uses the same basic language, making the ""variety of settings"" clause only thinly met. The standard's (C) requirement — that students USE vocabulary TO COMMUNICATE — is only partially satisfied because the communicative deployment is thin and limited to one genuine setting.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.EICC.4.c,partial,46,False,,high,True,Invite students to turn and talk with an elbow partner: 'Which of these habits of character did you focus on using and learning more about during the last module? How did you show that you were using it?',"The standard requires students to generate ideas for content (C) through three OR-listed channels: assessing prior knowledge, gathering information from texts, and engaging in discussions. The discussion channel is met: students participate in the Picture Tea Party and Back-to-Back and Face-to-Face protocols, sharing observations and wonders with peers, and the teacher explicitly bridges these discussions to the writing task — ""now that they have shared what they noticed and wondered … they are going to write down and draw what they notice and wonder."" Students then capture content on a Noticing and Wondering response sheet. The prior-knowledge and text-gathering channels are partially met: students activate prior knowledge about habits of character and gather observations from the read-aloud and videos, but the lesson frames these as science observation rather than explicitly as idea-generation for a composition, and the response sheet is a notice/wonder capture rather than a compositional draft. Because the three channels are an OR-list (any one suffices), the discussion clause alone would yield full — however, the writing act itself is thin: the response sheet (""I notice ___ / I wonder ___"") is observational recording rather than robust content-generation for a composition piece, making the overall generate-ideas-for-content act only partially realized as a (C) construction process step.","Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.T.RA.1.c,full,45,False,,high,True,"In my picture, I see_______.","Students share relevant and accurate information about the sun, moon, and stars through multiple modes. They share observations orally in Picture Tea Party small groups ('In my picture, I see_______'), in Back-to-Back partner protocol ('I noticed that the sun __________'), and in whole-group share-out ('What did you notice about the sky, the sun, the moon, or the stars?'). They also share information in writing and drawing on the Noticing and Wondering response sheet, using 'pictures and words to show what they notice and what they wonder' (Work Time C).",Share relevant and accurate information through a variety of different modes. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.EICC.1.c,partial,48,False,,high,True,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.","The write clause is partially met: students complete a Noticing and Wondering response sheet using sentence frames (""I notice ___"" / ""I wonder ___"") about the sun, moon, and stars, which constitutes a student writing act on a grade-level topic, but the writing is a scaffolded frame-completion on a teacher-assigned topic rather than a self-selected text of personal interest. The select clause is not met because students never choose their own texts — the read-aloud and videos are teacher-selected. The read clause is not met because the teacher reads aloud to students; students do not independently read any text themselves.","Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.L.V.1.a,full,45,False,,high,True,Ask students to repeat the word aloud with an accompanying hand gesture.,"Students acquire specialized vocabulary (sun, moon, star) from grade-level content through the Sun, Moon, and Stars Word Wall. They repeat each word aloud with gestures and in multiple languages (Opening B, Work Time B). Students then apply the vocabulary in appropriate contexts: they use 'sun,' 'moon,' and 'stars' in sentence frames during the Back-to-Back protocol ('I noticed that the sun __________') and in independent writing on the Noticing and Wondering response sheet (Work Time C).","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.CP.2.d,partial,47,False,,high,True,'One thing I wonder about the moon/stars is ____________.',"The answering clause is met: students answer teacher-posed questions throughout the lesson using structured protocols (Picture Tea Party, Back-to-Back and Face-to-Face, whole-group sharing), e.g., ""I noticed that the sun __________"" in response to ""What is one thing you noticed about the sun in the video?"" The asking clause is only partially met: students use the ""I wonder ___"" frame to generate wonderings about content, but these are topic wonderings rather than questions posed to a dialogue partner expecting a response. The lesson does not script a moment where students generate and direct a question at a peer or audience member in dialogue. The ELL scaffold (""Can you please repeat what you said?"") is a conversational-management prompt, not a content question. The gap is the absence of a student-generated question directed at an audience in dialogue.",Engage in dialogue with audiences by asking and answering questions. (I/C),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.CP.1.d,partial,47,False,,high,True,'One thing I wonder about the moon/stars is ____________.',"The standard requires students to work with others to (a) discuss topics, (b) investigate questions, (c) solve problems, and (d) explore and create texts. Clause (a) is met: students collaboratively discuss the sun, moon, and stars in small groups during the Picture Tea Party protocol (""In my picture, I see_______"") and with partners during Back-to-Back and Face-to-Face (""I noticed that the sun __________""; ""One thing I wonder about the moon/stars is ____________""). Clause (b) is partially met: students generate and share questions/wonders collaboratively but do not pursue or investigate those questions together within this lesson. Clause (c) — solve problems — is not met; no problem-solving activity appears. Clause (d) is partially met: students create a response sheet individually (not collaboratively), and the shared writing anchor chart involves student contributions but is teacher-scribed, making the collaborative creation thin. A fuller match for collaborative text creation and problem-solving may appear in later lessons in this unit.","Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.L.V.3.d,none,,False,,high,True,,alignment=none,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.P.EICC.3.g,none,,False,,high,True,,alignment=none,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.P.EICC.2.b,full,45,False,,high,True,"In my picture, I see_______.","Students use texts (photos, videos, and the story 'Elvin, the Boy Who Loved the Sky') to build knowledge about the sun, moon, and stars and to share information and ideas. They discuss observations from photos in Picture Tea Party ('In my picture, I see_______,' Opening B), share notices from videos in Back-to-Back protocol ('I noticed that the sun __________,' Work Time B), and record their notices and wonders on the response sheet (Work Time C). They also share out in whole group ('What did you notice about the sky, the sun, the moon, or the stars?', Closing A). The OR-list purpose is met: students use texts for both building knowledge and sharing information/ideas.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
