resource_id,standard_code,matched_status,confidence,grounded,evidence,evidence_page,rationale,standard_raw_text,judge_model,prompt_version,escalated,rerank_score,rrf_score,dense_score,bm25_score,dense_rank,bm25_rank,grounding_note
G1M2U1L6,1.L.V.1.b,partial,medium,True,'When the sun is setting (the sun/the boy/I) _________.',103,"The standard requires students to USE vocabulary to communicate. Per the object-list rule, general/academic/specialized are interchangeable — any one met satisfies the clause. Students use the word ""setting"" (academic vocabulary) in sentence frames during Think-Pair-Share and in independent writing. However, the primary evidence of students actively selecting and using vocabulary in their own speech/writing is through sentence frames provided by the teacher, and the word ""setting"" is defined by the teacher and then used in a structured frame. Students do repeat and apply the word in their own speech via the sentence stem, which counts as use. The core steps show students using the word ""setting"" in structured discussion. However, the variety-of-settings requirement is only partially met — communication occurs in partner discussions and independent writing but the lesson doesn't explicitly demonstrate a variety of settings. On reflection, the standard says ""in a variety of settings"" but students do communicate in partner talk and whole-group share and independent writing, which constitutes some variety. Let me reconsider: students do use the vocabulary word ""setting"" in their own speech via sentence frames in core steps. This meets ""use to communicate."" The interchangeable object list means meeting any one of general/academic/specialized suffices. The word ""setting"" qualifies as academic vocabulary. Students use it in partner discussions and whole-group sharing — multiple settings. This should be full.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)",claude-opus-4-6,align_judge.v1.1,True,0.06678071618080139,0.15519187082794533,0.60151213,71.69595899095886,2,2,evidence quote found in lesson raw text
G1M2U1L6,1.P.EICC.2.b,partial,medium,True,Invite students to Think-Pair-Share with an elbow partner:,103,"The standard lists four purposes for using texts: build knowledge, develop skills, make informed decisions, and share information and ideas. Per the scoring rules, these are an object list with the same verb (""use texts to...""), so any one met = clause met. Students clearly use the text to build knowledge, develop skills, and share information/ideas through discussions, role-play, and writing. Since these are interchangeable targets under the same verb, meeting any one satisfies the standard. However, I need to reconsider — the skill_clauses list them separately, but the standard text says ""build knowledge, develop skills, make informed decisions, and share information and ideas"" — these are all objects of ""make use of texts to."" Under the object-list rule (same verb, interchangeable targets), any one = clause met, so this should be full.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)",claude-opus-4-6,align_judge.v1.1,True,0.053249966353178024,0.1526773226773227,0.56967485,23.293300698879055,3,8,evidence quote found in lesson raw text
G1M2U1L6,1.P.EICC.3.g,partial,medium,True,'What two words do you see in overhead? What do you think overhead means? Point to something overhead.' (over + head; up above our heads)',100,"The standard requires students to determine meanings of unfamiliar words using context clues, academic vocabulary knowledge, and/or word parts. The only evidence of students doing this is in scaffold (ELL) steps during the Mini Language Dive, where students are asked about the meaning of ""by"" in context and asked to break apart ""overhead"" into word parts. No core (untagged) step has students determine word meanings. Since the only evidence is from scaffold steps, the match is partial at best. The word parts clause is met only on a scaffold step, and context clues work is also scaffold-only. The teacher defines ""setting"" in core without students determining it themselves.",Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I),claude-opus-4-6,align_judge.v1.1,True,0.04630889371037483,0.15123694473823374,0.69026875,84.08339313278992,1,1,evidence quote found in lesson raw text
G1M2U1L6,1.P.EICC.4.c,full,high,True,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students assess prior knowledge (role-play), gather information from the text (key details), and engage in discussions (turn and talk) to generate ideas for their writing about the ending events.","Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)",claude-sonnet-4-5,align_judge.batch.v1.1,False,0.06630830466747284,0.15077758215962442,0.46991485,36.347084230938236,5,1,evidence quote found in lesson raw text
G1M2U1L6,1.L.V.3.a,partial,medium,True,'What does the word by mean in this chunk?' (next to),100,"Students engage in determining word meaning using context, but the clearest evidence of students using context to clarify unknown or multiple-meaning words occurs on scaffold (ELL) steps — the Mini Language Dive where students determine meanings of ""by,"" ""overhead,"" and the verse. The core step about ""setting"" involves the teacher defining the word and students answering a teacher question about its meaning, which is a lighter touch. Because the strongest evidence for using context to determine meaning is on scaffold steps only, the match is partial rather than full.",Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I),claude-opus-4-6,align_judge.v1.1,True,0.037624161690473557,0.14766884772330838,0.72403765,104.16957084089827,1,1,evidence quote found in lesson raw text
G1M2U1L6,1.P.EICC.1.c,none,high,True,,,"The text is teacher-selected and teacher-read. Students write about the assigned text, not texts of their own personal interest. The standard requires student selection and reading, which are not present.","Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)",claude-sonnet-4-5,align_judge.batch.v1.1,False,0.048570822924375534,0.14727123205741627,0.5089378,40.499598721975296,8,2,no evidence required for none
G1M2U1L6,1.P.CP.1.d,full,high,True,Move students into pre-determined pairs and tell them they are going to use the Role-Play protocol to act out a few of the ending events of Summer Sun Risin.',101,"Students work collaboratively with partners to discuss topics, investigate questions about the text, solve problems during role-play, and explore the text through multiple protocols (Think-Pair-Share, Role-Play).","Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)",claude-sonnet-4-5,align_judge.batch.v1.1,False,0.0588320828974247,0.14694706416017891,0.54397285,40.20337582651581,2,2,evidence quote found in lesson raw text
G1M2U1L6,1.L.V.1.a,partial,medium,True,Invite students to create an accompanying hand gesture as they repeat the word with you.,101,"Students acquire the vocabulary word ""setting"" through the grade-level read-aloud text and repeat it with a gesture, meeting the acquire clause. However, the apply clause requires students to select and use acquired vocabulary in their own communication. The core sentence stem pre-fills ""setting"" for students rather than having them choose to use it, and the ELL sentence frames that more clearly apply vocabulary appear only on scaffold steps. Since acquire is met but apply is not clearly met in core, the result is partial.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)",claude-opus-4-6,align_judge.v1.1,True,0.07902640104293823,0.14627322404371584,0.7187258,111.5200787273344,1,1,evidence quote found in lesson raw text
G1M2U1L6,1.P.CP.2.d,partial,high,True,'What does the boy experience when the sun is setting?' (The boy is reading a book with his dad and getting ready for bed.),103,"Students engage in dialogue and answer questions throughout the lesson via Think-Pair-Share and turn-and-talk protocols. However, students never generate their own questions—all questions are teacher-posed. Since ""ask"" and ""answer"" are independent verbs that must both be met for full alignment, and only ""answer"" is met, the status is partial.",Engage in dialogue with audiences by asking and answering questions. (I/C),claude-opus-4-6,align_judge.v1.1,True,0.06912925094366074,0.14532085561497327,0.6949234,83.89254435188964,1,1,evidence quote found in lesson raw text
G1M2U1L6,1.P.ST.1.a,partial,medium,True,'What time of day do you think the end of the story takes place?' (at the end of the day),99,"Students use prior knowledge and discuss with others to identify context (time of day, what the boy and sun do), meeting two of the three clauses. However, there is no formal or informal research activity in the lesson. Since the standard lists three methods joined by commas and ""and,"" and one (research) is entirely absent, the match is partial.","Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)",claude-opus-4-6,align_judge.v1.1,True,0.05621705204248428,0.1451435132032147,0.5099004,30.1897914451061,3,6,evidence quote found in lesson raw text
