rank,standard_code,standard_text
1,1.L.GC.1.16,Use frequently occurring prepositions. (Introduce)
2,1.T.SS.1.a,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
3,1.L.V.2.a,"Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
4,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
5,1.F.PA.6.b,Distinguish between short and long vowel sounds in spoken one-syllable words.
6,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
7,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
8,1.T.SS.1.b,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
9,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
10,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
11,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
12,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
13,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
14,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
15,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
16,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
17,1.L.V.3.b,Identify the relationship between words and their synonyms and antonyms. (I)
18,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
19,1.T.T.2.b,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
20,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
21,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
22,1.L.V.2.c,Construct words using frequently occurring roots words and inflectional endings. (C)
23,1.F.F.1.d,"Self-correct while reading text (silently or aloud) to improve comprehension and fluency, rereading as necessary."
24,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
25,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
26,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
27,1.L.GC.1.11,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
28,1.T.RA.2.b,"Explore various sources of information, including print, digital, and personal communication. (I)"
29,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
30,1.P.EICC.3.f,"Make, track, and support inferences about different levels of meaning within the text. (I)"
31,1.P.AC.1.d,"Describe, analyze, and evaluate the design and organization of the text, explaining how specific formats, structures, patterns, and features influence the audience, contribute to the text’s accessibility, and support the text’s purpose. (I/C)"
32,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
33,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
34,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
35,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
36,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
37,1.L.GC.1.9,Use common and proper nouns. (Continue)
38,1.P.AC.3.b,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
39,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
40,1.T.T.4.a,"Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
41,1.P.EICC.3.c,"Draw from, compare, build, and integrate prior knowledge with the material in the text, addressing inconsistencies or gaps and adding to knowledge repertoires as appropriate. (I)"
42,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
43,1.L.GC.2.d,"With adult support, use adjectives or adverbs to add details or clarify meaning. (C)"
44,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
45,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
46,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
47,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
48,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
49,1.L.GC.1.15,"Use personal pronouns (subject, object, and possessive). (Introduce)"
50,1.P.AC.3.c,Apply knowledge of how mode and genre impact how ideas and information are structured and arranged in texts. (I/C)
