rank,standard_code,standard_text
1,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
2,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
3,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
4,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
5,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
6,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
7,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
8,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
9,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
10,1.T.T.1.a,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
11,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
12,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
13,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
14,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
15,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
16,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
17,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
18,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
19,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
20,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
21,1.T.T.2.b,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
22,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
23,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
24,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
25,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
26,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
27,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
28,1.F.F.1.b,Read a wide range of grade-level texts aloud with increasing accuracy.
29,1.T.T.1.b,Identify a simple plot with a problem and solution. (I)
30,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
31,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
32,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
33,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
34,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
35,1.L.V.2.c,Construct words using frequently occurring roots words and inflectional endings. (C)
36,1.P.AC.3.b,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
37,1.L.V.2.a,"Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
38,1.L.GC.1.10,Form and use the simple verb tenses. (Continue)
39,1.P.AC.2.a,"Integrate literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements to appeal to target audiences and achieve specific purposes. (I/C)"
40,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
41,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
42,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
43,1.T.T.3.a,"Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)"
44,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
45,1.L.GC.1.7,Use action verbs. (Master)
46,1.L.GC.2.c,Use singular and plural subjects with matching verbs. (C)
47,1.L.GC.1.9,Use common and proper nouns. (Continue)
48,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
49,1.P.EICC.3.a,"Establish a purpose and set goals for reading, monitor comprehension, and adjust as needed. (I)"
50,1.L.GC.1.12,Capitalize proper nouns. (Continue)
