rank,standard_code,standard_text
1,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
2,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
3,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
4,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
5,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
6,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
7,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
8,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
9,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
10,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
11,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
12,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
13,1.L.GC.2.d,"With adult support, use adjectives or adverbs to add details or clarify meaning. (C)"
14,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
15,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
16,1.P.AC.1.c,"Explain, analyze, and evaluate how the author’s use of sentence structure and syntax affects the target audience and supports the text’s purpose. (I/C)"
17,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
18,1.T.SS.2.b,Use descriptive words to craft engaging texts. (C)
19,1.P.EICC.1.a,"Generate, understand, monitor, and discuss personal and academic reading and writing goals, revising as appropriate. (I/C)"
20,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
21,1.L.GC.1.21,"Use coordinating conjunctions to join words, phrases, or clauses. (Introduce)"
22,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
23,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
24,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
25,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
26,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
27,1.L.GC.1.9,Use common and proper nouns. (Continue)
28,1.L.V.3.b,Identify the relationship between words and their synonyms and antonyms. (I)
29,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
30,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
31,1.T.T.2.b,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
32,1.L.V.2.a,"Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
33,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
34,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
35,1.P.EICC.3.c,"Draw from, compare, build, and integrate prior knowledge with the material in the text, addressing inconsistencies or gaps and adding to knowledge repertoires as appropriate. (I)"
36,1.T.T.1.d,"With adult support, compare and contrast characters and their experiences in stories across diverse cultures. (I)"
37,1.P.EICC.3.f,"Make, track, and support inferences about different levels of meaning within the text. (I)"
38,1.T.T.3.c,"Use knowledge of opinion techniques to create opinion pieces that introduce the topic, state an opinion about the topic, and provides two or more reasons to support the opinion with linking words and and because. (C)"
39,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
40,1.F.P.2.c,"Decode one-syllable nonsense words with a variety of spelling patterns (VC, CV, CVC, CVCe, VCC, CCVC, CVCC, CVVC, CCVCC)."
41,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
42,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
43,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
44,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
45,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
46,1.P.AC.2.b,"Craft words and phrases in order to influence the responses, thoughts, decisions, and questions of the target audience and achieve a specific purpose. (I/C)"
47,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
48,1.L.V.2.c,Construct words using frequently occurring roots words and inflectional endings. (C)
49,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
50,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
