rank,standard_code,standard_text
1,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
2,1.P.CP.2.c,"Vary tone, pace, and nonverbal gestures as appropriate to purpose and audience. (I/C)"
3,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
4,1.P.CP.2.b,Integrate modes and genres most appropriate to purpose and audience. (I/C)
5,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
6,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
7,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
8,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
9,1.L.GC.2.b,Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
10,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
11,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
12,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
13,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
14,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
15,1.L.GC.1.9,Use common and proper nouns. (Continue)
16,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
17,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
18,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
19,1.F.F.1.b,Read a wide range of grade-level texts aloud with increasing accuracy.
20,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
21,1.P.EICC.4.e,"Construct an initial draft by integrating ideas and information; selecting words, phrases, and sentences; and incorporating craft techniques that will best achieve the purpose of the text and resonate with the target audience. (C)"
22,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
23,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
24,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
25,1.L.GC.1.11,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
26,1.T.RA.1.a,Ask questions about topics of interest for research. (I)
27,1.L.GC.1.7,Use action verbs. (Master)
28,1.T.RA.2.b,"Explore various sources of information, including print, digital, and personal communication. (I)"
29,1.P.ST.1.c,Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C)
30,1.L.GC.1.10,Form and use the simple verb tenses. (Continue)
31,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
32,1.T.RA.1.b,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)"
33,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
34,1.P.EICC.1.c,"Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)"
35,1.L.GC.2.c,Use singular and plural subjects with matching verbs. (C)
36,1.P.EICC.3.a,"Establish a purpose and set goals for reading, monitor comprehension, and adjust as needed. (I)"
37,1.P.EICC.4.d,"Link ideas and information to the organization plan, highlighting ideas and information that are most relevant, useful, and impactful. (C)"
38,1.L.GC.1.15,"Use personal pronouns (subject, object, and possessive). (Introduce)"
39,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
40,1.P.EICC.1.d,"Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)"
41,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
42,1.P.AC.3.c,Apply knowledge of how mode and genre impact how ideas and information are structured and arranged in texts. (I/C)
43,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
44,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
45,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
46,1.P.AC.3.d,"Consume and produce multimodal texts, integrating a variety of genres, text features, and craft techniques to influence target audiences and achieve specific purposes. (I/C)"
47,1.T.T.2.d,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
48,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
49,1.P.EICC.2.e,Consume and produce texts in order to solve problems or influence decisions. (I/C)
50,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
