rank,standard_code,standard_text
1,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
2,1.L.GC.2.d,"With adult support, use adjectives or adverbs to add details or clarify meaning. (C)"
3,1.L.GC.1.11,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
4,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
5,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
6,1.T.T.4.a,"Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
7,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
8,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
9,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
10,1.T.SS.2.b,Use descriptive words to craft engaging texts. (C)
11,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
12,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
13,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
14,1.L.GC.1.15,"Use personal pronouns (subject, object, and possessive). (Introduce)"
15,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
16,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
17,1.L.GC.1.9,Use common and proper nouns. (Continue)
18,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
19,1.L.GC.2.a,"Distinguish between complete and incomplete simple sentences, and identify the sentence type (i.e., declarative, imperative, interrogative, and exclamatory). (I)"
20,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
21,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
22,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
23,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
24,1.T.T.4.b,Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C)
25,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
26,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
27,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
28,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
29,1.P.CP.2.c,"Vary tone, pace, and nonverbal gestures as appropriate to purpose and audience. (I/C)"
30,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
31,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
32,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
33,1.L.GC.1.7,Use action verbs. (Master)
34,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
35,1.T.C.1.c,"Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
36,1.L.GC.1.10,Form and use the simple verb tenses. (Continue)
37,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
38,1.L.V.2.a,"Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
39,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
40,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
41,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
42,1.L.GC.2.b,Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
43,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
44,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
45,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
46,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
47,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
48,1.P.ST.1.c,Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C)
49,1.T.T.2.d,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
50,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
