resource_id,standard_code,matched_status,needs_review,review_reason,confidence,grounded,evidence,evidence_page,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,rerank_score,rrf_score,dense_score,bm25_score,dense_rank,bm25_rank,grounding_note,input_scope_caveat
G1M2U1L15,1.T.RA.1.c,full,False,,high,True,"Guide students through three rounds of the protocol, each time finding a new partner to answer one of the following questions: 'What are some ways that Kevin Henkes included the moon in his story Kitten's First Full Moon?' (Kitten saw the moon in the sky. Kitten thought the moon was a bowl of milk. Kitten thought she could get the moon.)",190,"In Work Time B, students share relevant and accurate information about the moon in Kitten's First Full Moon through the Back-to-Back and Face-to-Face protocol, answering questions such as 'What are some ways that Kevin Henkes included the moon in his story?' with responses like 'Kitten saw the moon in the sky. Kitten thought the moon was a bowl of milk.' Students use multiple communication modes: they discuss orally with partners and share out to the whole group, and their ideas are captured in writing on the Unit 1 Guiding Question anchor chart.",Share relevant and accurate information through a variety of different modes. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.07251791656017303,0.1701298128981894,0.0,58.77123520133727,11,1,evidence quote found in lesson raw text,
G1M2U1L15,1.T.RA.1.b,none,False,,high,True,,,alignment=none,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.04600914940237999,0.16079669365219518,0.0,31.603581921492587,5,4,no evidence required for none,
G1M2U1L15,1.P.EICC.2.b,full,False,,high,True,Invite students to turn and talk with an elbow partner: 'What happened in the beginning of the story?' (Kitten wanted a bowl of milk.),188,"Throughout Work Time A and B, students use the text Kitten's First Full Moon to build knowledge about the story. They turn and talk with partners to answer questions such as 'What happened in the beginning of the story?' (Kitten wanted a bowl of milk) and discuss why the author wrote about the moon. Students apply their knowledge from the text to answer the Unit 1 guiding question about why authors write about the sun, moon, and stars.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.059011589735746384,0.15857901463070687,0.0,22.35781010430744,7,5,evidence quote found in lesson raw text,
G1M2U1L15,1.T.C.1.c,full,False,,high,True,Invite students to point to the first box and write and draw their answers to the prompt: 'What happened in the beginning of the story?',188,"In Work Time A, students create texts in teacher-selected modes on the Unit 1 Assessment response sheet. They write and draw their answers to prompts about the story, such as 'What happened in the beginning of the story?' Students use both print mode (writing sentences) and visual mode (drawing pictures) as directed by the teacher-designed assessment format.","Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.06546547263860703,0.15833733974358974,0.0,18.227435670435842,2,7,evidence quote found in lesson raw text,
G1M2U1L15,1.P.EICC.4.d,none,False,,high,True,,,alignment=none,"Link ideas and information to the organization plan, highlighting ideas and information that are most relevant, useful, and impactful. (C)",claude-opus-4-6,align_judge.assembled.v1,True,False,0.04393594339489937,0.1573164621855593,0.0,23.29276108082989,4,11,no evidence required for none,
G1M2U1L15,1.P.EICC.4.c,full,False,,high,True,"Remind students that in the previous lesson they listened to Kitten's First Full Moon and identified and described the character and setting in the story. Using a total participation technique, invite responses from the group: 'Who is the main character in? Where does the story take place?' Kitten's First Full Moon (Kitten; outside and night)",188,"In Work Time A, students generate ideas for writing through all three methods. They assess prior knowledge by recalling the character and setting from the previous lesson ('Who is the main character? Where does the story take place?' Kitten; outside and night). They gather information from the text during the read-aloud, discussing 'What happened in the beginning of the story?' (Kitten wanted a bowl of milk). They engage in discussions with elbow partners about story events before writing and drawing their responses on the assessment sheet.","Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.07857591658830643,0.15574675324675324,0.0,22.902441863664965,26,1,evidence quote found in lesson raw text,
G1M2U1L15,1.P.ST.2.a,partial,False,,high,True,'Why do you think Kevin Henkes wrote about the moon in this story?' (to imagine what the moon looks like to a kitten; to imagine what the kitten thinks when she looks at the moon),190,"The standard requires students to (1) develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts, and (2) evaluate the extent to which texts achieve those purposes. In Work Time B, students engage in the Back-to-Back and Face-to-Face protocol where they answer ""'Why do you think Kevin Henkes wrote about the moon in this story?' (to imagine what the moon looks like to a kitten; to imagine what the kitten thinks when she looks at the moon),"" demonstrating that students discern the author's purpose using knowledge of the author and story context. This partially meets the first clause because students discern purpose on the interpretation side but do not establish purpose for a text they construct, and audience knowledge is not addressed. The evaluate clause is not met: no activity asks students to judge how well the text achieves its purpose.","Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,0.05493129789829254,0.15507765621541006,0.0,28.410493725605736,13,2,evidence quote found in lesson raw text,
G1M2U1L15,1.P.EICC.1.b,none,False,,high,True,,,alignment=none,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.040492087602615356,0.15482216708023158,0.0,26.368410022307838,8,5,no evidence required for none,
G1M2U1L15,1.P.CP.2.a,full,False,,high,True,Refocus students whole group and call on one or two students to share out.,188,"Throughout Work Time A and B, students communicate clearly to present ideas and information. They share out to the whole group about story events after turn-and-talk discussions, such as what happened in the beginning, middle, and end of the story. In Work Time B, students present their ideas about why Kevin Henkes wrote about the moon through the Back-to-Back and Face-to-Face protocol and share out to the class. The manner-modifier principle applies: students genuinely present aloud to communicate ideas, satisfying both the clarity manner and the present-ideas act.","Communicate clearly to present ideas, information, and texts. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.06756777316331863,0.14984482429335372,0.0,56.95235547972655,21,2,evidence quote found in lesson raw text,
G1M2U1L15,1.P.EICC.4.g,none,False,,high,True,,,alignment=none,"Make changes to the text based on self-evaluation or external feedback, revising the organization, ideas, information, word choices, and craft techniques in order to increase the text’s effectiveness. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.06489896774291992,0.14852692766295705,0.0,21.30434199295302,38,7,no evidence required for none,
