resource_id,standard_code,matched_status,needs_review,review_reason,confidence,grounded,evidence,evidence_page,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,rerank_score,rrf_score,dense_score,bm25_score,dense_rank,bm25_rank,grounding_note,input_scope_caveat
G1M2U2L6,1.T.T.1.e,none,False,,high,True,,,alignment=none,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.2867095172405243,0.2416501240694789,0.0,55.56888117930904,15,3,no evidence required for none,
G1M2U2L6,1.T.C.1.c,none,False,,low,False,students will create a diagram that shows day and night on earth … create their final diagram of day and night on earth,,"Students create texts in teacher-selected modes. In Work Time A, students 'create a diagram that shows day and night on earth' and 'create their final diagram of day and night on earth' (visual mode). In Closing A, students 'write independently in their Sky notebook to describe a new moon photograph' (print mode). Both are teacher-selected modes. [REJECTED: evidence missing or not found in lesson raw text]","Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.1749342381954193,0.24011237026862026,0.0,18.227435670435842,2,15,evidence quote NOT found in lesson raw text (possible fabrication),
G1M2U2L6,1.P.CP.2.e,partial,False,,high,True,"Tell students that you will read the poem first on your own as they listen, then they should echo each verse as you read it a second time. Remind students of the gestures and hand motions that they created in the previous lesson.",267,"The standard requires students to recite significant poems and/or speeches. The resource includes the poem ""Where Are They? The Sun, Moon, and Stars,"" and students echo each verse after the teacher reads it: ""they should echo each verse as you read it a second time. Remind students of the gestures and hand motions that they created in the previous lesson."" This echo-reading constitutes a scaffolded, partial recitation of a poem — the student speaks the poem's words aloud but only by echoing the teacher verse-by-verse, not reciting independently from memory or from the text on their own. The optional choral re-read (""invite students to read the poem with you one last time"") is similarly teacher-led. No speech is present in the lesson. The poem clause is partially met (scaffolded echo rather than independent recitation); the speech clause is not met.",Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C),claude-opus-4-6,align_judge.assembled.v1,True,False,0.16589786112308502,0.2375024108003857,0.0,31.003063122384187,6,4,evidence quote found in lesson raw text,
G1M2U2L6,1.T.RA.1.c,partial,False,,high,True,Guide students through each step of the Science Talk protocol using the question: 'What makes night?' Circulate to observe students as they discuss.,268,"Students share relevant and accurate information about what makes day and night during the Science Talk protocol in triads, consulting their notes: ""Guide students through each step of the Science Talk protocol using the question: 'What makes night?'"" and ""Tell students that they will use the notes they completed in the previous lesson about 'What makes day' and 'What makes night.'"" This meets the relevant-information and accurate-information clauses. The variety-of-modes clause is only partially met: students share orally in the Science Talk and write observations in the Sky Notebook, but the Sky Notebook task (describing a moon photograph with adjectives) is a separate observational activity rather than sharing the same topical information through a different mode, making the ""variety of different modes"" component thin.",Share relevant and accurate information through a variety of different modes. (C),claude-opus-4-6,align_judge.assembled.v1,True,False,0.1855827271938324,0.23245015086944348,0.0,58.77123520133727,11,1,evidence quote found in lesson raw text,
G1M2U2L6,1.T.SS.2.b,none,False,,low,False,students will write independently in their Sky notebook to describe a new moon photograph using adjectives from the Adjectives anchor chart,,"Students use descriptive words to craft texts. In Closing A, students 'write independently in their Sky notebook to describe a new moon photograph using adjectives from the Adjectives anchor chart.' The directive has students select and use descriptive words (adjectives) to craft their Sky notebook entry. [REJECTED: evidence missing or not found in lesson raw text]",Use descriptive words to craft engaging texts. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.3350723683834076,0.2305809393839935,0.0,31.249842707524326,9,2,evidence quote NOT found in lesson raw text (possible fabrication),
G1M2U2L6,1.P.EICC.1.b,none,False,,high,True,,,alignment=none,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.08454887568950653,0.22881410256410256,0.0,15.644837691661277,8,3,no evidence required for none,
G1M2U2L6,1.T.SS.1.c,none,False,,high,True,,,alignment=none,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.13278132677078247,0.2237420042643923,0.0,25.662677121791972,30,10,no evidence required for none,
G1M2U2L6,1.P.ST.2.a,none,False,,high,True,,,alignment=none,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.19336864352226257,0.21984126984126984,0.0,28.410493725605736,13,3,no evidence required for none,
G1M2U2L6,1.P.EICC.1.d,full,False,,high,True,they should consult their notes to find evidence to answer the question … students as they discuss,268,"Students build and draw from comprehension and composition skills. In Work Time A, students 'looked closely at the pictures in the text and listened to the text read aloud to answer the focus question' (comprehension skills). In Work Time B, students 'consult their notes to find evidence to answer the question' during Science Talk (drawing from interpretation skills). In Closing A, students 'write independently in their Sky notebook to describe a new moon photograph using adjectives from the Adjectives anchor chart' (drawing from composition skills).","Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,0.19075194001197815,0.2106780474427533,0.0,21.523757562060165,23,7,evidence quote found in lesson raw text,
G1M2U2L6,1.T.RA.1.b,none,False,,high,True,,,alignment=none,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)",claude-opus-4-6,align_judge.assembled.v1,True,False,0.05215157940983772,0.2053952644802742,0.0,20.57932915841943,5,6,no evidence required for none,
