rank,standard_code,standard_text
1,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
2,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
3,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
4,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
5,1.P.CP.2.c,"Vary tone, pace, and nonverbal gestures as appropriate to purpose and audience. (I/C)"
6,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
7,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
8,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
9,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
10,1.T.T.2.d,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
11,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
12,1.P.EICC.3.a,"Establish a purpose and set goals for reading, monitor comprehension, and adjust as needed. (I)"
13,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
14,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
15,1.P.EICC.1.f,Develop independence and autonomy as a reader and writer. (I/C)
16,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
17,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
18,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
19,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
20,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
21,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
22,1.T.RA.1.a,Ask questions about topics of interest for research. (I)
23,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
24,1.T.RA.2.b,"Explore various sources of information, including print, digital, and personal communication. (I)"
25,1.L.GC.2.b,Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
26,1.F.F.1.d,"Self-correct while reading text (silently or aloud) to improve comprehension and fluency, rereading as necessary."
27,1.P.EICC.1.c,"Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)"
28,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
29,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
30,1.L.GC.1.15,"Use personal pronouns (subject, object, and possessive). (Introduce)"
31,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
32,1.P.EICC.3.c,"Draw from, compare, build, and integrate prior knowledge with the material in the text, addressing inconsistencies or gaps and adding to knowledge repertoires as appropriate. (I)"
33,1.P.EICC.1.d,"Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)"
34,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
35,1.P.EICC.1.a,"Generate, understand, monitor, and discuss personal and academic reading and writing goals, revising as appropriate. (I/C)"
36,1.P.CP.2.b,Integrate modes and genres most appropriate to purpose and audience. (I/C)
37,1.T.C.1.c,"Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
38,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
39,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
40,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
41,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
42,1.P.AC.1.c,"Explain, analyze, and evaluate how the author’s use of sentence structure and syntax affects the target audience and supports the text’s purpose. (I/C)"
43,1.P.EICC.4.f,"Evaluate the text’s effectiveness based on self-review or feedback from others, determining whether the text matches the purpose and goals for writing. (C)"
44,1.P.EICC.4.a,Establish a purpose and goals for writing and identify a target audience. (C)
45,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
46,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
47,1.P.AC.2.a,"Integrate literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements to appeal to target audiences and achieve specific purposes. (I/C)"
48,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
49,1.P.ST.1.c,Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C)
50,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
