rank,standard_code,standard_text
1,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
2,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
3,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
4,1.L.GC.2.c,Use singular and plural subjects with matching verbs. (C)
5,1.T.T.4.a,"Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
6,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
7,1.T.SS.1.b,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
8,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
9,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
10,1.L.GC.1.11,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
11,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
12,1.L.GC.1.9,Use common and proper nouns. (Continue)
13,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
14,1.L.GC.1.15,"Use personal pronouns (subject, object, and possessive). (Introduce)"
15,1.L.GC.2.d,"With adult support, use adjectives or adverbs to add details or clarify meaning. (C)"
16,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
17,1.L.GC.1.7,Use action verbs. (Master)
18,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
19,1.L.GC.1.12,Capitalize proper nouns. (Continue)
20,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
21,1.T.C.2.a,Identify who is speaking or telling the story at various points in a text. (I)
22,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
23,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
24,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
25,1.T.T.1.b,Identify a simple plot with a problem and solution. (I)
26,1.P.EICC.3.a,"Establish a purpose and set goals for reading, monitor comprehension, and adjust as needed. (I)"
27,1.T.T.1.a,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
28,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
29,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
30,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
31,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
32,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
33,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
34,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
35,1.F.P.1.b,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
36,1.L.GC.1.14,Form plural nouns by changing -y to -ies. (Introduce)
37,1.F.PA.6.b,Distinguish between short and long vowel sounds in spoken one-syllable words.
38,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
39,1.L.GC.1.10,Form and use the simple verb tenses. (Continue)
40,1.L.GC.1.19,Form and use irregular plural nouns. (Introduce)
41,1.L.GC.1.18,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
42,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
43,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
44,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
45,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
46,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
47,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
48,1.P.AC.3.c,Apply knowledge of how mode and genre impact how ideas and information are structured and arranged in texts. (I/C)
49,1.P.ST.1.c,Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C)
50,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
